2019-06-23 00:57:59,"b'RT @ICC: \xf0\x9f\x94\xa5 A match-winning, hat-trick-sealing wicket from Mohammed Shami\n\xe2\x9a\xa1 A lightning-quick turn-and-throw from Sheldon Cottrell\n\xf0\x9f\x92\xa5 A massi\xe2\x80\xa6'"
2019-06-23 00:57:53,b'RT @ICC: You just have to see it to believe it!!! \xf0\x9f\xa4\xaf\n\nAn all or nothing catch in the deep by Trent Boult is the difference between winning a\xe2\x80\xa6'
2019-06-23 00:57:46,"b'RT @ICC: Carlos Braithwaite, remember the name?\n\nWell @TridentSportsX nearly made us remember all over again with an incredible display of\xe2\x80\xa6'"
2019-06-23 00:57:43,b'RT @PathakRidhima: Sheldon Cottrell has given the @ICC @cricketworldcup some new moves. #MenInMaroon\nThis is my attempt at it #CWC19 https:\xe2\x80\xa6'
2019-06-23 00:57:40,b'RT @ICC: You just have to see it to believe it!!! \xf0\x9f\xa4\xaf\n\nAn all or nothing catch in the deep by Trent Boult is the difference between winning a\xe2\x80\xa6'
2019-06-23 00:57:40,b'RT @ICC: The agony \xf0\x9f\x92\x94\nThe ecstasy \xe2\x9d\xa4\n\nWhat a game!\n#BACKTHEBLACKCAPS\n#MenInMaroon\n#CWC19 https://t.co/UNdbeCYZMF'
2019-06-23 00:57:33,b'RT @ICC: Trent Boult started the innings by bowling Shai Hope and ended it by dramatically catching Carlos Brathwaite on the boundary.\n\nWat\xe2\x80\xa6'
2019-06-23 00:57:31,b'RT @ICC: What a way to end it @MdShami11! \xf0\x9f\x8e\xa9\xf0\x9f\x8e\xa9\xf0\x9f\x8e\xa9\n\nNabi c Pandya b Shami\nAlam b Shami\nUr Rahman b Shami\n\nIndia take an absolute thriller by 11\xe2\x80\xa6'
2019-06-23 00:57:27,"b""RT @PathakRidhima: It's cricket that has won today. Excellent effort by Afghanistan \xf0\x9f\x91\x8d\xf0\x9f\x91\x8d\xf0\x9f\x91\x8d @ICC @cricketworldcup @DivaPatang thanks for giving\xe2\x80\xa6"""
2019-06-23 00:57:26,b'RT @ICC: You just have to see it to believe it!!! \xf0\x9f\xa4\xaf\n\nAn all or nothing catch in the deep by Trent Boult is the difference between winning a\xe2\x80\xa6'
